1, Chai, 18.00, 39, 2026-02-27T21:58:27.529673700, DISCONTINUED
2, Chang, 19.00, 17, 2026-02-27T21:58:27.533673800, DISCONTINUED
5, Chef Anton's Gumbo Mix, 21.35, 0, 2026-02-27T21:58:27.536671800, DISCONTINUED
9, Mishi Kobe Niku, 97.00, 29, 2026-02-27T21:58:27.540672800, DISCONTINUED
17, Alice Mutton, 39.00, 0, 2026-02-27T21:58:27.644184400, DISCONTINUED
24, Guaraná Fantástica, 4.50, 20, 2026-02-27T21:58:27.848218100, DISCONTINUED
28, Rössle Sauerkraut, 45.60, 26, 2026-02-27T21:58:27.848218100, DISCONTINUED
29, Thüringer Rostbratwurst, 123.79, 0, 2026-02-27T21:58:27.849216300, DISCONTINUED
42, Singaporean Hokkien Fried Mee, 14.00, 26, 2026-02-27T21:58:27.850217700, DISCONTINUED
53, Perth Pasties, 32.80, 0, 2026-02-27T21:58:27.850217700, DISCONTINUED
